id,name,published_at,url,area_name,salary_from,salary_to,salary_currency,employer_name,employer_url,snippet_requirement,snippet_responsibility,address_raw,address_lat,address_lng,address_metro_station_name
78289526,Менеджер по рекламной монетизации / AdOps manager,2023-03-20T15:11:10+0300,https://hh.ru/vacancy/78289526,Москва,,,,ГПМ Партнер,https://api.hh.ru/employers/2155808,"Понимание работы программатик-монетизации, опыт работы в монетизации. Опыт работы с Adfox и рекламными кодами. Опыт работы с ключевыми игроками...","Работа над повышением дохода программатик-монетизации рекламного инвентаря. Отслеживание ключевых метрик монетизации, их аналитика и корректировка. Тестирование и интеграция новых...","Москва, улица Раевского, 4с1А",55.744982,37.551888,Киевская
77340861,Media Strategist (Медиа стратег) / Digital Strategist (Диджитал стратег),2023-03-21T18:18:16+0300,https://hh.ru/vacancy/77340861,Москва,200000.0,300000.0,RUR,Genius Group,https://api.hh.ru/employers/4781293,"Опыт работы с аналитикой, подготовка предложений по Бренд Лифтам, исследованиям аудитории; Высокие навыки при работе с массивами данных: медиабазы, данные...",Разработка медийных стратегий для новых и текущих клиентов агентства. Аналитика рынка и товарной категории. Аналитика трендов. Анализ конкурентов: медиа затраты...,,,,Павелецкая
78081999,Middle/Senior Data Engineer,2023-03-15T12:19:35+0300,https://hh.ru/vacancy/78081999,Москва,,,,ФГБУ ЦСП ФМБА России,https://api.hh.ru/employers/2853703,Уверенные знания SQL и опыт работы с базами данных (не менее 1 года). Опыт написания процессов загрузки данных (ETL). ,Помощь аналитикам данных в описании моделей и потоков данных. Помощь DADS в получении качественных данных и интеграция мат. ,"Москва, 1-й Волоколамский проезд, 10",55.803241,37.490865,
53935399,Лингвист-аналитик (со знанием арабского языка),2023-03-21T18:58:50+0300,https://hh.ru/vacancy/53935399,Москва,90000.0,,RUR,"Megaputer Intelligence, Компания",https://api.hh.ru/employers/191061,"Стажировки, курсы, решение практических задач, связанных с анализом данных. Знание основ корпусной лингвистики, теории вероятности, математической статистики, методов и алгоритмов...","Общение с заказчиком, уточнение деталей проекта. Построение решения на базе внутренних инструментов компании в установленный срок. Командная работа с распределением...","Москва, Бауманская улица, 6",55.776234,37.675505,Бауманская
78331759,ИТ лидер кластера CDO,2023-03-21T09:45:40+0300,https://hh.ru/vacancy/78331759,Москва,,,,СБЕР,https://api.hh.ru/employers/3529,Опыт управления проектами с ИТ-составляющей: 3+ завершенных проекта по поставке и внедрению программного обеспечения. × Знание принципов построения современной...,"...и корпоративные продукты, Данные по аналитике портфеля клиента PA Data, Данные DCM, Управление качеством данных УБ, Данные по анализу благосостояния...",,,,
78376482,Программист-разработчик Java core,2023-03-21T19:41:07+0300,https://hh.ru/vacancy/78376482,Москва,,,,"ДИКСИ, группа компаний",https://api.hh.ru/employers/2746,Успешно работали в Oracle SQLPL SQL. Знание и навык работы с Java Core. Умение быстро разбираться в «чужом» коде.,"...Oracle в различных вариантах разных версий, Oracle Reports и не только). Доработка существующего функционала по техническим заданиям аналитиков и консультантов.",,,,
78334489,Менеджер по продажам ПО для бизнеса B2B (IT платформы),2023-03-21T10:18:37+0300,https://hh.ru/vacancy/78334489,Москва,120000.0,350000.0,RUR,БИПЛАН,https://api.hh.ru/employers/3156902,Опыт продаж в B2B от 3х лет. Опыт продажи ИТ-решений или программного обеспечения для бизнеса. ,"...данных, BI-система. -система планирования и контроль выполнения плановбюджетов. -консолидация данных по показателям бизнеса из разных источников (Big Data). ","Москва, Бауманская улица, 13с1",55.776077,37.677203,Бауманская
77844592,QA Manual специалист,2023-03-22T17:56:19+0300,https://hh.ru/vacancy/77844592,Москва,,,,ГПМ Партнер,https://api.hh.ru/employers/2155808,"Опыт работы в аналогичной должности от 1 года. Опыт работы с Jira, Confluence, TestRail. Знание Rest API, Postman. ","Написание документации (тест-планы, тест-кейсы, чеклисты). Обнаружение, документирование и отслеживание багов. Взаимодействие с командой разработки, продуктовыми менеджерами, аналитиками.",,,,
78087079,Ведущий Java разработчик (Senior),2023-03-21T13:19:31+0300,https://hh.ru/vacancy/78087079,Москва,,,,Центурион-Инновации,https://api.hh.ru/employers/9278557,"Опыт работы с базами данных SQL (PostgreSQL), понимание принципов и особенности работы с базами данных SQL (PostgreSQL). - Опыт работы с...","Работа в тесном сотрудничестве со специалистами frontend разработки, тестирования и аналитиками. - Декомпозировать задачи и проводить code review. - Работа по гибким...","Москва, Замоскворецкая линия, метро Аэропорт",55.800979,37.531774,
78411063,Инженер администратор (SberWorks),2023-03-22T14:51:37+0300,https://hh.ru/vacancy/78411063,Москва,,,,СБЕР,https://api.hh.ru/employers/3529,Знание SQL (junior+ и выше). СУБД Oracle и PostgreSQL на уровне Администратора – обязательно. Linux на уровне Администратора – обязательно. ,"...банка обеспечивает безопасность данных в средах тестирования и разработки, а так же для моделирования и аналитики больших данных. ",,,,
78142758,Аналитик группы разработки,2023-03-16T14:41:41+0300,https://hh.ru/vacancy/78142758,Москва,,,,ПРОФ-ИТ ГРУПП,https://api.hh.ru/employers/1668887,"Релевантный опыт работы от 3х лет техническим писателем  аналитиком в проектах, связанных с разработкой и внедрением информационных систем. ","Цифровое производство (ERP-PLM-MES-автоматизация, RFID-идентификация, киберфизические системы, SCADA, промышленный Интернет вещей и анализ Big Data). ","Москва, Мытная улица, 66",55.713136,37.620222,Тульская
78154515,Дата-инженер,2023-03-22T18:06:42+0300,https://hh.ru/vacancy/78154515,Москва,130000.0,,RUR,ЛогЛаб,https://api.hh.ru/employers/4680,"...данных. Опыт построения ETL-процессов, понимание как их протестировать и проверить целостность данных. Опыт работы с качеством данных (очистка данных...","...данных на уровне хранилища для интерактивных информационных панелей. Разработка ETL-процессов, реализация схем загрузки и трансформации данных, потоков данных (data...","Москва, Илимская улица, 5к2",55.888745,37.581343,Алтуфьево
78278716,Менеджер продукта в направление авторского опыта (видео),2023-03-20T15:39:57+0300,https://hh.ru/vacancy/78278716,Москва,,,,VK,https://api.hh.ru/employers/15478,"Работаешь в сфере управления продуктом, желательно в IT, более 3 лет. Можешь выстроить эффективную коммуникацию внутри команды и со стейкхолдерами. ","Проектировать эффективные для бизнеса фичиинициативы на основе data-driven подхода. Проводить исследования, работать с анализом данных. Формировать квартальныеполугодовые...","Москва, Садовническая улица, 82",55.736914,37.641764,Павелецкая
77129180,C# программист (Junior+),2023-03-20T09:17:33+0300,https://hh.ru/vacancy/77129180,Москва,,,,АБК,https://api.hh.ru/employers/1320790,"Имеет опыт разработки СУБД. Знает LINQ. Работал с Docker, Rabbit, Entity Framework. Хочет развиваться в направлении Big Data.",Заниматься разработкой инструментов для сбора данных. Поддерживать и развивать существующий проект. Взаимодействовать с представителем заказчика.,,,,
74094948,Java-разработчик,2023-03-20T08:49:34+0300,https://hh.ru/vacancy/74094948,Москва,,,,СБЕР,https://api.hh.ru/employers/3529,"...с использованием Spring (boot, mvc, security, data) - от 3-х лет. Желательно опыт участия в проектах по построению хранилищ данных.","Разработка функциональности и тестов (модульных, интеграционных) согласно ТЗ. Участие в проектировании технических решений и разработке ТЗ на основе принятых технических...",,,,
78171955,Java Developer (4+),2023-03-20T10:53:40+0300,https://hh.ru/vacancy/78171955,Москва,,,,Адвантум,https://api.hh.ru/employers/12499,,"Участвовать в проектировании и реализации масштабируемых, отказоустойчивых систем обработки больших потоков данных на базе микросервисной архитектуры. Участвовать в создании сложных...","Москва, Беговая улица, 6А",55.776198,37.556649,Беговая
78273070,Менеджер по кампаниям продаж,2023-03-20T12:42:32+0300,https://hh.ru/vacancy/78273070,Москва,,,,СБЕР,https://api.hh.ru/employers/3529,"Опыт работы с AI-проектами (проектами, связанным с data science, искусственным интеллектом) в роли бизнес-заказчикабизнес-аналитика. ",Выстраивание процесса сбора предложений и формирования заказа для кампаний. Взаимодействие с командой data-science при разработке AI-моделей. ,,,,
78054172,Ведущий Java-разработчик,2023-03-22T17:56:12+0300,https://hh.ru/vacancy/78054172,Москва,,,,ГПМ Партнер,https://api.hh.ru/employers/2155808,"Отличное знание Java. Знаения основных структуры данных, алгоритмов, паттернов проектирования. Разбирается в микросервисной архитектуре. Есть опыт работы с Spring Boot...",Улучшать существующую микросервисную архитектуру системы процессинга данных. Интегрировать наши проекты с другими системами и продуктами компании. Автоматизировать процессы. ,,,,
73812902,Java-разработчик,2023-03-22T15:16:52+0300,https://hh.ru/vacancy/73812902,Москва,,,,М.Видео-Эльдорадо,https://api.hh.ru/employers/2523,"Опыт работы с docker, kubernetes. Опыт работы с NoSQL базами данных. Опыт работы с BPM-движками (Camunda, Zeebe, JBPM и...","Предоставление доступа к данным по товарам, ценам, скидкам, доступным способам получения товаров и т.д. Обеспечение процесса оформления заказа (формирование...",,,,
77437749,Java Developer / Back-end (middle - senior),2023-03-20T15:21:37+0300,https://hh.ru/vacancy/77437749,Москва,3000.0,,USD,Ecom Market,https://api.hh.ru/employers/6080513,"Знание SQL, умение проектировать схемы и писать оптимальные запросы. Хорошие практические знания структур данных, алгоритмов и Java Concurrency. ","The demand for Ecommerce sales analytics tools is growing; there are more and more users, and we work every day...",,,,
